a                             a
a`                            a`
abailard                      abailard
abaissait                     abaiss
abaissant                     abaiss
abaisse                       abaiss
abaisse'                      abaiss
abaissement                   abaissement
abaissent                     abaissent
abaisser                      abaiss
abaisserai                    abaiss
abandon                       abandon
abandonna                     abandon
abandonnait                   abandon
abandonnant                   abandon
abandonne                     abandon
abandonne'                    abandon
abandonne'e                   abandon
abandonner                    abandon
abandonnera                   abandon
abandonnerait                 abandon
abandonne's                   abandon
abandonnez                    abandon
abasourdi                     abasourd
abat                          abat
abattant                      abatt
abattement                    abatt
abattit                       abatt
abattre                       abattr
abbaye                        abbay
abbe'                         abbe'
abbe's                        abbe'
abbesse                       abbess
abeille                       abeil
abhorrait                     abhorr
abhorre                       abhorr
abhorre'                      abhorr
abi^mait                      abi^m
abi^me                        abi^m
abi^me'                       abi^m
abi^me'e                      abi^m
abject                        abject
abjurant                      abjur
ablutions                     ablut
abne'gation                   abneg
aboiements                    aboi
aboiera                       aboi
abolir                        abol
abominable                    abomin
abominablement                abomin
abominables                   abomin
abomination                   abomin
abondaient                    abond
abondamment                   abond
abondance                     abond
abondant                      abond
abondante                     abond
abonde                        abond
abonne'                       abon
abonnement                    abon
abord                         abord
aborda                        abord
abordaient                    abord
abordait                      abord
abordant                      abord
aborde'e                      abord
aborder                       abord
aborde`rent                   abord
aborde's                      abord
abords                        abord
aboutit                       about
aboyaient                     aboi
aboye`rent                    aboi
abraham                       abraham
abre`ge                       abreg
abre'ge'                      abreg
abre'gea                      abreg
abre'geaient                  abreg
abre'geait                    abreg
abre'geant                    abreg
abre'ger                      abreg
abre'gera                     abreg
abre'gerait                   abreg
abre'ge's                     abreg
abreuvoir                     abreuvoir
abre'viations                 abre'vi
abri                          abri
abrita^t                      abrit
abrite'                       abrit
abrite'e                      abrit
abritent                      abritent
abrite's                      abrit
abrutis                       abrut
abrutissant                   abrut
abrutissement                 abrut
abruzze                       abruzz
absence                       absenc
absences                      absenc
absent                        absent
absentait                     absent
absente                       absent
absents                       absent
absolu                        absolu
absolue                       absolu
absolument                    absolu
absolus                       absolus
absolutisme                   absolut
absorba                       absorb
absorbaient                   absorb
absorbait                     absorb
absorbe'                      absorb
absorbe'e                     absorb
absorbe's                     absorb
absoudre                      absoudr
abstenait                     absten
abstenez                      absten
abstiendrai                   abstiendr
abstraction                   abstract
abstrait                      abstrait
absurde                       absurd
absurdes                      absurd
absurdite'                    absurd
absurdite's                   absurd
abus                          abus
abusa                         abus
abusait                       abus
abusant                       abus
abuse                         abus
abuse'                        abus
abuser                        abus
abusez                        abus
abusif                        abus
acabit                        acab
acacia                        acaci
acacias                       acaci
acade'micien                  acade'micien
acade'mie                     academ
acade'mies                    academ
acade'mique                   academ
acajou                        acajou
accabla                       accabl
accablaient                   accabl
accablait                     accabl
accablant                     accabl
accablante                    accabl
accable                       accabl
accable'                      accabl
accable'e                     accabl
accablement                   accabl
accabler                      accabl
accableraient                 accabl
accable`rent                  accabl
accalmie                      accalm
accapare'                     accapar
acce`de                       acced
acce'der                      acced
acce'le'ra                    acce'ler
acce'le'ration                acce'ler
accent                        accent
accents                       accent
accentua                      accentu
accepta                       accept
acceptables                   accept
acceptais                     accept
acceptait                     accept
accepte                       accept
accepte'                      accept
accepte'e                     accept
acceptent                     acceptent
accepter                      accept
acceptera                     accept
accepterai                    accept
accepterait                   accept
accepteriez                   accept
acceptes                      accept
acceptez                      accept
acception                     accept
acceptons                     accepton
acce`s                        acces
accident                      accident
accidente'                    accident
accidents                     accident
acclamation                   acclam
acclamations                  acclam
accommode'                    accommod
accompagnaient                accompagn
accompagnait                  accompagn
accompagnant                  accompagn
accompagne                    accompagn
accompagne'                   accompagn
accompagne'e                  accompagn
accompagnement                accompagn
accompagnent                  accompagnent
accompagner                   accompagn
accompagne`rent               accompagn
accompagniez                  accompagn
accompli                      accompl
accomplie                     accompl
accomplies                    accompl
accomplir                     accompl
accomplirait                  accompl
accomplis                     accompl
accomplissaient               accompl
accomplissais                 accompl
accomplissait                 accompl
accomplissant                 accompl
accomplissement               accompl
accomplissent                 accompl
accomplit                     accompl
accord                        accord
accorda                       accord
accordait                     accord
accordant                     accord
accorde                       accord
accorde'                      accord
accorde'e                     accord
accorde'es                    accord
accorder                      accord
accorderai                    accord
accorderait                   accord
accorde`rent                  accord
accorderez                    accord
accordez                      accord
accosta                       accost
accostait                     accost
accoste'                      accost
accoster                      accost
accote'                       accot
accouchement                  accouch
accouraient                   accour
accourait                     accour
accourant                     accour
accourez                      accour
accourir                      accour
accourue                      accouru
accoururent                   accoururent
accourus                      accourus
accourut                      accourut
accoutrement                  accoutr
accoutuma^t                   accoutum
accoutume                     accoutum
accoutume'                    accoutum
accoutume'e                   accoutum
accoutume'es                  accoutum
accoutumer                    accoutum
accoutumes                    accoutum
accoutume's                   accoutum
accre'dite'                   accred
accre'diter                   accre'dit
accrochaient                  accroch
accrochant                    accroch
accroche'                     accroch
accrocher                     accroch
accroissaient                 accroiss
accroissait                   accroiss
accroissant                   accroiss
accroi^tre                    accroi^tr
accru                         accru
accrue                        accru
accrut                        accrut
accueil                       accueil
accueillait                   accueil
accueillent                   accueillent
accueilli                     accueil
accueillie                    accueil
accueillies                   accueil
accueillir                    accueil
accueillis                    accueil
accumulation                  accumul
accumule'                     accumul
accumule'es                   accumul
accumulent                    accumulent
accumuler                     accumul
accumule's                    accumul
accusa                        accus
accusait                      accus
accusant                      accus
accusateur                    accus
accusation                    accus
accusations                   accus
accuse                        accus
accuse'                       accus
accuser                       accus
accuseront                    accus
accuse's                      accus
accusez                       accus
achalandage                   achalandag
acharnant                     acharn
acharne's                     acharn
achat                         achat
achemina                      achemin
acheminait                    achemin
achemine'                     achemin
acheta                        achet
achetait                      achet
achetant                      achet
achete                        achet
ache`te                       achet
achete'                       achet
achete'es                     achet
acheter                       achet
ache`terons                   achet
ache`tes                      achet
achete's                      achet
achetez                       achet
acheva                        achev
achevaient                    achev
achevait                      achev
achevant                      achev
ache`ve                       achev
acheve'                       achev
acheve'e                      achev
ache`vement                   achev
achever                       achev
ache`vera                     achev
achevez                       achev
achille                       achill
acier                         aci
acolyte                       acolyt
acoustiques                   acoust
acque'rait                    acquer
acquerrait                    acquerr
acquiert                      acquiert
acquis                        acquis
acquise                       acquis
acquises                      acquis
acquisition                   acquisit
acquisitions                  acquisit
acquit                        acquit
acquitta                      acquitt
acquittait                    acquitt
acquitte                      acquitt
acquitte'                     acquitt
acquittement                  acquitt
acquitter                     acquitt
acquitte's                    acquitt
acrobates                     acrobat
acrobatique                   acrobat
acte                          acte
actes                         acte
acteur                        acteur
acteurs                       acteur
actif                         actif
action                        action
actionnaires                  actionnair
actions                       action
active                        activ
activement                    activ
actives                       activ
activite'                     activ
actrice                       actric
actrices                      actric
actuel                        actuel
actuelle                      actuel
actuellement                  actuel
actuelles                     actuel
actuels                       actuel
ad                            ad
adaptant                      adapt
additions                     addit
address                       address
adeline                       adelin
aden                          aden
adieu                         adieu
adieux                        adieux
adjoint                       adjoint
adjonction                    adjonct
adjudant                      adjud
adjudication                  adjud
adjudications                 adjud
adjugeait                     adjug
adjuger                       adjug
admet                         admet
admettait                     admet
admettant                     admet
admettent                     admettent
admettons                     admetton
admettre                      admettr
administra                    administr
administrateur                administr
administrateurs               administr
administration                administr
administre                    administr
administre'                   administr
administrer                   administr
administre's                  administr
administrez                   administr
admira                        admir
admirable                     admir
admirablement                 admir
admirables                    admir
admirais                      admir
admirait                      admir
admirant                      admir
admirateurs                   admir
admiration                    admir
admire                        admir
admire'                       admir
admire'e                      admir
admire'es                     admir
admirent                      admirent
admirer                       admir
admirera                      admir
admire`rent                   admir
admire's                      admir
admiriez                      admir
admis                         admis
admise                        admis
admises                       admis
admission                     admiss
admi^t                        admi^t
admonestant                   admonest
adolescent                    adolescent
adolphe                       adolph
adonne'                       adon
adonne'e                      adon
adonnent                      adonnent
adopta                        adopt
adopte                        adopt
adopte'                       adopt
adopte'e                      adopt
adopter                       adopt
adoptif                       adopt
adorable                      ador
adoraient                     ador
adorais                       ador
adorait                       ador
adorant                       ador
adorateur                     ador
adorateurs                    ador
adoration                     ador
adorations                    ador
adoratrices                   ador
adore                         ador
adore'                        ador
adore'e                       ador
adorent                       adorent
adorer                        ador
adorera                       ador
adouci                        adouc
adoucir                       adouc
adoucissait                   adouc
adoucissent                   adouc
adressa                       adress
adressaient                   adress
adressait                     adress
adressant                     adress
adressa^t                     adress
adresse                       adress
adresse'                      adress
adresse'e                     adress
adresse'es                    adress
adressent                     adressent
adresser                      adress
adresserai                    adress
adresse`rent                  adress
adresses                      adress
adresse's                     adress
adressez                      adress
adrien                        adrien
adroit                        adroit
adroite                       adroit
adroitement                   adroit
adroites                      adroit
adroits                       adroit
adsum                         adsum
adulte`re                     adulter
adverbe                       adverb
adversaire                    adversair
adversaires                   adversair
adverse                       advers
adversite'                    advers
advint                        advint
ae'rienne                     ae'rien
affabilite'                   affabl
affadissantes                 affad
affaibli                      affaibl
affaiblie                     affaibl
affaiblissait                 affaibl
affaiblissement               affaibl
affaiblit                     affaibl
affaire                       affair
affaire'                      affair
affaires                      affair
affaire's                     affair
affaisse'                     affaiss
affame'                       affam
affamer                       affam
affame's                      affam
affecta                       affect
affectaient                   affect
affectait                     affect
affectant                     affect
affectation                   affect
affectations                  affect
affecte                       affect
affecte'                      affect
affecte'e                     affect
affecte'es                    affect
affecter                      affect
affecte's                     affect
affection                     affect
affectionnait                 affection
affectionne'                  affection
affections                    affect
affectueux                    affectu
affermissant                  afferm
affermit                      afferm
affichait                     affich
affiche                       affich
affiche'                      affich
affiche'e                     affich
affichent                     affichent
afficher                      affich
affiches                      affich
afficheur                     afficheur
affide'                       affid
affide's                      affid
affile'e                      affil
affilie'                      affili
affilier                      affili
affinite's                    affin
affirmait                     affirm
affirmant                     affirm
affirmatif                    affirm
affirme                       affirm
affirme'                      affirm
affirment                     affirment
affirmer                      affirm
affirmerai                    affirm
afflictive                    afflict
afflige                       afflig
afflige'                      afflig
affligea                      afflig
afflige'e                     afflig
affliger                      afflig
affligez                      afflig
afflua                        afflu
affluaient                    afflu
affluence                     affluenc
affluent                      affluent
affluents                     affluent
affluer                       afflu
affolait                      affol
affole'es                     affol
affranchi                     affranch
affre`te                      affret
affreuse                      affreux
affreuses                     affreux
affreux                       affreux
affriolait                    affriol
affront                       affront
affrontais                    affront
affronter                     affront
affuble'                      affubl
afin                          afin
afrique                       afriqu
agde                          agde
age                           age
a^ge                          a^ge
a^ge'                         a^ge'
a^ge'e                        a^ge'
a^ge'es                       a^ge'
agen                          agen
agence'es                     agenc
agenouilla                    agenouill
agenouillant                  agenouill
agenouille'                   agenouill
agenouille'e                  agenouill
agent                         agent
agents                        agent
a^ges                         a^ge
a^ge's                        a^ge'
agglome'ration                agglomer
aggrottato                    aggrottato
agi                           agi
agile                         agil
agilite'                      agil
agir                          agir
agirait                       agir
agis                          agis
agissaient                    agiss
agissait                      agiss
agissant                      agiss
agissante                     agiss
agisse                        agiss
agissent                      agissent
agissez                       agiss
agissons                      agisson
agit                          agit
agita                         agit
agitaient                     agit
agitait                       agit
agitant                       agit
agitation                     agit
agite                         agit
agite'                        agit
agite'e                       agit
agite'es                      agit
agitent                       agitent
agiter                        agit
agite`rent                    agit
agite's                       agit
agneaux                       agneau
agonie                        agon
agra                          agra
agrandis                      agrand
agre'able                     agre'abl
agre'ablement                 agre'abl
agre'ables                    agre'abl
agre'er                       agre'
agre'ez                       agre'
agre'ment                     agre'ment
agre'mente'                   agre'ment
agre'mente'e                  agre'ment
agre'mente'es                 agre'ment
agre'mente's                  agre'ment
agre'ments                    agre'ment
agre`s                        agres
agriculteur                   agriculteur
agriculture                   agricultur
ah                            ah
ahme'hnagara                  ahme'hnagar
ahuri                         ahur
ai                            ai
aida                          aid
aidait                        aid
aidant                        aid
aide                          aid
aide'                         aid
aide'e                        aid
aide'es                       aid
aider                         aid
aidera                        aid
aiderai                       aid
aide`rent                     aid
aiderez                       aid
aides                         aid
aide's                        aid
aidez                         aid
aidiez                        aid
aie                           aie
aient                         aient
aies                          aie
ai"eul                        ai"eul
ai"eux                        ai"eux
aigle                         aigl
aigre                         aigr
aigrelets                     aigrelet
aigrelettes                   aigrelet
aigrement                     aigr
aigres                        aigr
aigreur                       aigreur
aigrirait                     aigr
aiguille                      aiguill
aiguilles                     aiguill
aiguillon                     aiguillon
aiguiser                      aiguis
aigus                         aigus
aile                          ail
ailes                         ail
aille                         aill
ailles                        aill
ailleurs                      ailleur
aima                          aim
aimable                       aimabl
aimables                      aimabl
aimaient                      aim
aimais                        aim
aimait                        aim
aimant                        aim
aima^t                        aim
aime                          aim
aime'                         aim
aime'e                        aim
aime'es                       aim
aiment                        aiment
aimer                         aim
aimera                        aim
aimerai                       aim
aimerais                      aim
aimerait                      aim
aimerez                       aim
aimes                         aim
aime's                        aim
aimez                         aim
aimiez                        aim
aimons                        aimon
aine                          ain
ai^ne'                        ai^n
ai^ne'e                       ai^n
ai^ne's                       ai^n
ainsi                         ains
air                           air
aire                          air
airs                          air
aisance                       aisanc
aise                          ais
aise'                         ais
aise'es                       ais
aise'ment                     ais
aise's                        ais
ait                           ait
ajournement                   ajourn
ajouta                        ajout
ajoutaient                    ajout
ajoutait                      ajout
ajoutant                      ajout
ajoute                        ajout
ajoute'                       ajout
ajoute'es                     ajout
ajouter                       ajout
ajoutera                      ajout
ajouterai                     ajout
ajouteraient                  ajout
ajouterais                    ajout
ajoute`rent                   ajout
ajouterez                     ajout
ajouterons                    ajout
ajuster                       ajust
al                            al
alabama                       alabam
alacoque                      alacoqu
alari                         alar
alarma                        alarm
alarmaient                    alarm
alarmants                     alarm
alarme                        alarm
alarme'                       alarm
alarme'e                      alarm
alarmer                       alarm
alarmes                       alarm
alas                          alas
alba^tre                      alba^tr
albermale                     albermal
album                         album
alcooliques                   alcool
ale                           ale
ale'a                         ale'
alembert                      alembert
alenc,on                      alenc,on
alerte                        alert
alertes                       alert
alexandre                     alexandr
alfieri                       alfier
alfred                        alfred
alger                         alger
alhambra                      alhambr
alie`ne                       alien
aligne'es                     align
aligre                        aligr
aliment                       aliment
alimentation                  aliment
alimenter                     aliment
alimento                      alimento
aline'a                       aline'
all                           all
alla                          alla
allahabad                     allahabad
allaient                      allaient
allais                        allais
allait                        allait
allant                        allant
alla^t                        alla^t
alle'                         alle'
alle'che'                     allech
alle'che's                    allech
alle'e                        alle'
alle'es                       alle'
alle'gation                   alleg
allege                        alleg
alle`ge                       alleg
alle`gre                      allegr
alle'gresse                   alle'gress
alle'guant                    alle'gu
allemagne                     allemagn
allemand                      allemand
allemande                     allemand
allemands                     allemand
aller                         aller
alle`rent                     alle`rent
alle's                        alle'
allez                         allez
alliage                       alliag
alliance                      allianc
allie'                        alli
allie's                       alli
alliez                        alli
alligators                    alligator
allions                       allion
allocution                    allocu
allonge                       allong
allongeait                    allong
allonge'e                     allong
allons                        allon
alloue                        allou
alluma                        allum
