a                             a
a'                            a'
a`                            a`
a~                            a~
aacho                         aach
aacute                        aacut
abacaxi                       abacax
abade                         abad
abaete'                       abaet
abafar                        abaf
abafaram                      abaf
abaixa                        abaix
abaixe                        abaix
abaixei                       abaix
abaixo                        abaix
abaixou                       abaix
abalada                       abal
abalado                       abal
abalaram                      abal
abalos                        abal
abalou                        abal
abalroado                     abalro
abandona                      abandon
abandona'                     abandon
abandonada                    abandon
abandonadas                   abandon
abandonado                    abandon
abandonados                   abandon
abandonam                     abandon
abandonando                   abandon
abandonar                     abandon
abandonara                    abandon
abandonaram                   abandon
abandonasse                   abandon
abandono                      abandon
abandonou                     abandon
abarrotado                    abarrot
abarrotados                   abarrot
abarrotou                     abarrot
abastada                      abast
abastado                      abast
abastados                     abast
abastecem                     abastec
abastecer                     abastec
abastecida                    abastec
abastecimento                 abastec
abata                         abat
abate                         abat
abatedouro                    abatedour
abatem                        abat
abatendo                      abat
abater                        abat
abateram                      abat
abates                        abat
abateu                        abat
abatia                        abat
abatidas                      abat
abatido                       abat
abatidos                      abat
abaulado                      abaul
abbe'                         abbe'
abbey                         abbey
abc                           abc
abcesso                       abcess
abdel                         abdel
abdela                        abdel
abdias                        abdi
abdicac,a~o                   abdic
abdicar                       abdic
abdomen                       abdomen
abdo^men                      abdo^men
abdominais                    abdomin
abdominal                     abdominal
abecafe'                      abecaf
abel                          abel
abenc,oadas                   abenc,o
aberrac,o~es                  aberr
aberta                        abert
abertamente                   abert
abertas                       abert
aberto                        abert
abertos                       abert
abertura                      abertur
abic                          abic
abicair                       abica
abichequer                    abichequ
abifarma                      abifarm
abih                          abih
abilio                        abili
abi'lio                       abi'li
abismo                        abism
abissais                      abiss
abissal                       abissal
abnegac,a~o                   abneg
abocanhar                     abocanh
abolic,a~o                    abolic,a~
abolicionistas                abolicion
abolido                       abol
abolir                        abol
abomina                       abomin
abominac,a~o                  abomin
abomina'veis                  abomin
abomina'vel                   abomin
abono                         abon
aborda                        abord
abordada                      abord
abordadas                     abord
abordado                      abord
abordagem                     abordag
abordagens                    abordagens
abordando                     abord
abordar                       abord
abordava                      abord
abordavam                     abord
abori'gines                   abori'gin
aborrece                      aborrec
aborrecidi'ssima              aborrecidi'ssim
aborrecido                    aborrec
aborrecidos                   aborrec
aborrecimentos                aborrec
aborto                        abort
abortos                       abort
abouch                        abouch
abra                          abra
abraa~o                       abraa~
abrac,ada                     abrac
abracadabra                   abracadabr
abrac,ando                    abrac
abrac,aram                    abrac
abrac,o                       abrac
abrac,os                      abrac
abrafe                        abraf
abraha~o                      abraha~
abram                         abram
abrandar                      abrand
abrange                       abrang
abrange^ncia                  abrangent
abrangendo                    abrang
abrangente                    abrangent
abranger                      abrang
abrasador                     abras
abrasivo                      abras
abre                          abre
abrem                         abrem
abresi                        abres
abreu                         abreu
abreviac,a~o                  abrevi
abreviado                     abrevi
abri                          abri
abriga                        abrig
abrigada                      abrig
abrigam                       abrig
abrigar                       abrig
abrigaram                     abrig
abrigarem                     abrig
abrigaria                     abrig
abrigo                        abrig
abrigou                       abrig
abril                         abril
abrimos                       abrim
abrindo                       abrind
abrinq                        abrinq
abrir                         abrir
abrira'                       abrir
abriram                       abrir
abrira~o                      abrira~
abrisse                       abriss
abriu                         abriu
abrolhos                      abrolh
abrucio                       abruci
abruptamente                  abrupt
absoluta                      absolut
absolutamente                 absolut
absolutas                     absolut
absoluto                      absolut
absolutos                     absolut
absolve                       absolv
absolvem                      absolv
absolver                      absolv
absolveram                    absolv
absolverem                    absolv
absolveu                      absolv
